genes,Fold.c,logCPM,F,p.val,FDR
2610001J05Rik,0.964,6.615,89.175,9.275061912372516e-7,4.5247055023803e-5
Calm2,1.117,8.788,89.152,9.287621291591226e-7,4.5247055023803e-5
Capg,5.938,8.367,100.776,9.34653871183587e-7,4.532425201135892e-5
Stra13,0.93,6.179,88.891,9.42842875224118e-7,4.551163108249263e-5
Tmem14c,1.337,7.091,88.716,9.524629323561963e-7,4.576606135700573e-5
Gpr35,2.786,5.293,91.573,9.615731891591351e-7,4.599379395237081e-5
Pla2g7,2.93,9.939,92.255,9.74476521080205e-7,4.617731702763063e-5
Stmn1,2.937,5.562,93.37,9.754775163969268e-7,4.617731702763063e-5
Tspan4,1.994,6.134,88.25,9.785747122647183e-7,4.617731702763063e-5
Tubb5,1.801,9.021,88.17,9.831061254329855e-7,4.618404356219333e-5
Memo1,1.775,3.806,87.653,1.0132486910631408e-6,4.7388515449144136e-5
Zfp395,-1.619,4.625,87.239,1.0381481197907298e-6,4.833819763078695e-5
Sfi1,-1.898,6.048,87.096,1.046897758403143e-6,4.8530859522802966e-5
Taz,-1.064,6.413,86.677,1.073156161186161e-6,4.950372238898286e-5
Anxa5,1.46,10.082,86.595,1.0783389585306208e-6,4.950372238898286e-5
Tmem91,-2.562,4.196,86.538,1.0819971633057168e-6,4.950372238898286e-5
Myeov2,1.224,5.767,86.379,1.0922231598093545e-6,4.9637271745722305e-5
Fyco1,-1.515,5.284,86.346,1.094350189585439e-6,4.9637271745722305e-5
Kcnj9,-3.558,1.951,86.102,1.1103778601955942e-6,5.014809537698815e-5
Safb2,-1.313,5.071,85.819,1.1291884576212147e-6,5.0779701451060014e-5
Chchd7,-1.876,4.533,85.719,1.1359585378232418e-6,5.0866773163889246e-5
Adam19,-1.921,4.782,85.567,1.1463765909835587e-6,5.111576638525419e-5
Ms4a6d,2.798,8.708,89.222,1.152567289208552e-6,5.1174960271483514e-5
Plin2,2.396,9.065,85.254,1.1680178116932204e-6,5.164307324557882e-5
Epm2aip1,-2.125,4.16,84.941,1.1902449665663043e-6,5.240563926015574e-5
Laptm4b,-1.949,4.905,84.864,1.1957859746170658e-6,5.243023254539743e-5
Ubl5,1.073,6.438,84.711,1.2068197541739119e-6,5.269445756502935e-5
Rps27l,1.237,6.48,84.638,1.2122000317758845e-6,5.2710665018089386e-5
Prpf39,-1.213,6.182,84.447,1.226225111625534e-6,5.310109814664812e-5
Cuedc2,1.161,6.233,84.224,1.2428898781747434e-6,5.3379531411352394e-5
1810058I24Rik,1.38,5.991,84.173,1.2467536386878651e-6,5.3379531411352394e-5
Lrrk1,-1.181,6.565,84.13,1.2500695135103432e-6,5.3379531411352394e-5
I830077J02Rik,-1.798,5.389,84.092,1.2529453823628282e-6,5.3379531411352394e-5
Pcf11,-1.166,5.874,84.019,1.2584725473084728e-6,5.339881699728653e-5
Cfp,3.471,8.298,92.321,1.2771958275227564e-6,5.3975629289244836e-5
Sars,0.821,6.819,83.707,1.2826320580881387e-6,5.3988548589045934e-5
Uap1l1,1.514,4.015,83.49,1.299706489759046e-6,5.431305846915953e-5
Wdr44,-1.15,5.751,83.478,1.300664329015319e-6,5.431305846915953e-5
Ddx42,-1.407,6.2,83.399,1.3069768889126794e-6,5.436093992896492e-5
Marf1,-1.383,6.965,83.238,1.31995557955395e-6,5.452285321347293e-5
Prr14l,-1.317,4.852,83.222,1.3212323072731727e-6,5.452285321347293e-5
Cep68,-1.692,4.638,83.026,1.3372452042808064e-6,5.478179210791212e-5
Rab20,1.022,6.362,83.018,1.3379188987677863e-6,5.478179210791212e-5
Rpl18,1.124,5.744,82.944,1.3440031334928173e-6,5.4817616177305875e-5
0610030E20Rik,-1.092,5.164,82.772,1.3583028799200867e-6,5.495091681490752e-5
Gna11,-1.702,5.47,82.703,1.3640907143888688e-6,5.495091681490752e-5
Gnb2l1,1.147,9.557,82.656,1.3680418732836144e-6,5.495091681490752e-5
Lacc1,-1.469,6.957,82.652,1.368343632554669e-6,5.495091681490752e-5
Stx16,-1.523,6.393,82.537,1.3781349874497075e-6,5.495091681490752e-5
Eno1,0.983,7.814,82.531,1.3786032537428096e-6,5.495091681490752e-5
Rps20,1.384,8.453,82.464,1.3843302622804445e-6,5.497097113198912e-5
Anpep,2.988,6.252,88.76,1.4197121655831228e-6,5.6164026761019554e-5
Aurka,2.799,3.598,81.95,1.4291800958673375e-6,5.6326824527385735e-5
H2-Oa,-3.211,2.139,81.822,1.4406021641836997e-6,5.656513646904877e-5
Trp53i11,-2.342,2.0,81.436,1.4756835049237712e-6,5.772720268517786e-5
Il15,-1.188,5.137,81.31,1.487310537804801e-6,5.778896804957569e-5
Gtpbp2,-1.246,5.722,81.3,1.488245779856981e-6,5.778896804957569e-5
Rps25,1.434,7.087,81.184,1.4991313879865463e-6,5.799764557272951e-5
Gla,3.596,5.142,88.828,1.5360288855189475e-6,5.8794298091154984e-5
Tmem256,0.936,6.49,80.734,1.5421591513158982e-6,5.8794298091154984e-5
Dpy19l3,-1.957,3.64,80.694,1.5459807364679661e-6,5.8794298091154984e-5
Garnl3,-1.744,2.557,80.573,1.5578179988024187e-6,5.8794298091154984e-5
Luc7l3,-1.668,8.014,80.515,1.563549759504387e-6,5.8794298091154984e-5
Ermp1,-1.245,4.627,80.468,1.5682513084489974e-6,5.8794298091154984e-5
Kdm2b,-1.163,4.685,80.45,1.5699930775647183e-6,5.8794298091154984e-5
Gm5150,5.897,3.979,90.48,1.5725063154857263e-6,5.8794298091154984e-5
Capns1,1.216,6.151,80.404,1.5745357909742227e-6,5.8794298091154984e-5
Gpr137b,1.497,5.394,80.349,1.5800379246881904e-6,5.8794298091154984e-5
Tubb4b,1.979,4.651,80.33,1.5819170280330247e-6,5.8794298091154984e-5
Tagln2,1.622,8.195,80.282,1.5867699950478016e-6,5.8794298091154984e-5
4930479D17Rik,-3.477,2.024,80.153,1.5997523299164118e-6,5.906734655336983e-5
1500002C15Rik,-2.455,0.953,80.095,1.60565057933872e-6,5.9077835826508215e-5
Erh,1.464,4.363,79.933,1.6223177276063235e-6,5.920980383202472e-5
Crtc1,-2.071,2.648,79.915,1.6240853502836096e-6,5.920980383202472e-5
Dynlt1c,-2.643,1.841,79.896,1.6261173911864623e-6,5.920980383202472e-5
Mtch2,0.977,6.386,79.807,1.6352693471343482e-6,5.931400219862484e-5
Frrs1,1.02,6.484,79.76,1.6402522702461112e-6,5.931400219862484e-5
Cxcr4,2.819,5.188,83.24,1.663833956072371e-6,5.966904986725343e-5
Mga,-1.011,6.042,79.53,1.664418577395984e-6,5.966904986725343e-5
Rpl23,1.317,9.126,79.505,1.667081693525849e-6,5.966904986725343e-5
Actg1,1.48,8.234,79.401,1.6782195656099251e-6,5.986408301326522e-5
Snrpe,1.217,5.486,79.046,1.716842037926012e-6,6.08656407905155e-5
Psmb1,1.164,7.631,78.976,1.7245134749725051e-6,6.08656407905155e-5
Arhgef1,-1.334,5.715,78.867,1.7366077140104372e-6,6.08656407905155e-5
Trpm2,-1.8,6.545,78.844,1.7391817391012693e-6,6.08656407905155e-5
Sec61b,1.205,5.901,78.833,1.7405001273561575e-6,6.08656407905155e-5
Trem1,9.245,3.09,88.54,1.7448100693433819e-6,6.08656407905155e-5
Cxcl13,7.768,4.532,88.5,1.74863728574521e-6,6.08656407905155e-5
Atp6v1g1,0.962,7.458,78.677,1.7579809875511162e-6,6.08656407905155e-5
Ttll3,-1.94,3.642,78.674,1.7583535874101218e-6,6.08656407905155e-5
Psmb2,1.221,7.523,78.457,1.7830889346810403e-6,6.151949134311012e-5
Thyn1,1.216,4.478,78.339,1.7968538775434068e-6,6.16607538516948e-5
Itln1,10.374,1.244,175.564,1.7989025403849002e-6,6.16607538516948e-5
Nhp2,1.712,5.421,78.208,1.812075617393786e-6,6.176800977678215e-5
Lilra5,-2.058,10.465,78.145,1.8194886433359554e-6,6.176800977678215e-5
Rpl26,1.054,6.798,78.144,1.8196410748648169e-6,6.176800977678215e-5
BC035044,-2.509,5.206,79.424,1.831342547843063e-6,6.187892936492769e-5
Dera,1.086,5.697,78.017,1.834669387233435e-6,6.187892936492769e-5
Hmgb2,1.222,5.958,77.878,1.8513195368512648e-6,6.208339309083372e-5
Gm16638,-2.704,1.719,77.845,1.8552929996635717e-6,6.208339309083372e-5
Adam8,7.025,6.935,87.359,1.8607066229135554e-6,6.208339309083372e-5
Itgam,2.943,9.058,82.575,1.8685752323696815e-6,6.208339309083372e-5
Slco3a1,-2.403,4.847,77.722,1.8702305055397024e-6,6.208339309083372e-5
Psmb3,1.111,5.628,77.601,1.8849686316921735e-6,6.237586450093315e-5
Mtpn,1.088,6.43,77.482,1.8997296894775146e-6,6.258282471307766e-5
H3f3a,1.366,5.116,77.455,1.9031173532438328e-6,6.258282471307766e-5
Pabpc1,1.377,6.756,77.378,1.9126999182141793e-6,6.270199763042931e-5
Ecm1,6.069,6.411,86.633,1.936525757776729e-6,6.328590232634944e-5
Rpl8,1.22,9.084,77.139,1.9427729702805147e-6,6.329349834755993e-5
Nasp,1.478,4.763,76.8,1.9865314995357682e-6,6.451935484449039e-5
5830428H23Rik,-1.772,4.27,76.581,2.0155189778916302e-6,6.51470265243391e-5
Esd,1.211,7.255,76.544,2.0203517647930546e-6,6.51470265243391e-5
Hpgd,-2.042,8.761,76.498,2.0265120862494626e-6,6.51470265243391e-5
Top3b,-1.257,5.853,76.468,2.030620992110921e-6,6.51470265243391e-5
Gm15523,-2.302,2.653,76.309,2.0519851148578966e-6,6.55604119324276e-5
Zfp110,-0.881,6.204,76.239,2.061553408203687e-6,6.55604119324276e-5
Pycard,1.293,6.815,76.234,2.0622338052648283e-6,6.55604119324276e-5
Khnyn,-1.743,3.979,76.189,2.0684269468370203e-6,6.55604119324276e-5
Mrpl20,1.398,5.728,75.918,2.1059608279836167e-6,6.654962700562041e-5
Eif4a2,-1.202,8.405,75.746,2.1301806060140943e-6,6.711344466193507e-5
Krit1,-0.977,5.651,75.648,2.1441171301277678e-006,6.73508792845806e-5
Rap2a,1.572,4.73,75.557,2.1572342791726895e-6,6.756123904682801e-5
